Opt Level;Barrier;Address Qubits;Classic Original Depth;Classic Optimized Depth;Classic Original Size;Classic Optimized Size;Gray Code Original Depth;Gray Code Optimized Depth;Gray Code Original Size;Gray Code Optimized Size
0;no_barriers;1;5;24;5;29;5;24;5;29
0;no_barriers;2;10;152;14;206;10;152;12;204
0;no_barriers;3;21;732;35;865;18;732;23;853
0;no_barriers;4;44;848;84;1244;34;848;42;1202
0;no_barriers;5;91;2218;197;3535;66;2218;77;3415
0;no_barriers;6;186;5450;454;9170;130;5450;144;8860
0;no_barriers;7;377;29312;1031;34325;258;29312;275;33569
0;no_barriers;8;760;71942;2312;101656;514;71696;534;99878
0;no_barriers;9;1527;183814;5129;236571;1026;183320;1049;232491
0;with_barriers;1;5;28;5;29;5;28;5;29
0;with_barriers;2;11;155;14;206;10;155;12;204
0;with_barriers;3;23;735;35;865;18;734;23;853
0;with_barriers;4;47;851;84;1244;34;851;42;1202
0;with_barriers;5;95;2427;197;3535;66;2405;77;3415
0;with_barriers;6;191;5875;454;9170;130;5829;144;8860
0;with_barriers;7;383;29315;1031;34325;258;29315;275;33569
0;with_barriers;8;767;73603;2312;101656;514;73480;534;99878
0;with_barriers;9;1535;187139;5129;236571;1026;186892;1049;232491
1;no_barriers;1;5;20;5;24;5;20;5;24
1;no_barriers;2;10;90;14;140;10;91;12;140
1;no_barriers;3;21;563;35;628;18;563;23;626
1;no_barriers;4;44;707;84;1065;34;707;42;1057
1;no_barriers;5;91;1996;197;3207;66;1996;77;3185
1;no_barriers;6;186;4876;454;8326;130;4876;144;8274
1;no_barriers;7;377;24323;1031;27662;258;24323;275;27548
1;no_barriers;8;760;57349;2312;77317;514;57349;534;77083
1;no_barriers;9;1527;144389;5129;179193;1026;144389;1049;178713
1;with_barriers;1;5;24;5;25;5;24;5;25
1;with_barriers;2;11;102;14;150;10;102;12;148
1;with_barriers;3;23;567;35;641;18;566;23;629
1;with_barriers;4;47;755;84;1148;34;755;42;1106
1;with_barriers;5;95;2331;197;3375;66;2309;77;3255
1;with_barriers;6;191;5555;454;8722;130;5509;144;8412
1;with_barriers;7;383;24579;1031;28565;258;24579;275;27809
1;with_barriers;8;767;58627;2312;79514;514;58627;534;77859
1;with_barriers;9;1535;146947;5129;184091;1026;146947;1049;180258
2;no_barriers;1;5;9;5;15;5;9;5;15
2;no_barriers;2;10;90;14;132;10;91;12;132
2;no_barriers;3;21;563;35;628;18;563;23;626
2;no_barriers;4;44;707;84;1006;34;707;42;992
2;no_barriers;5;91;1996;197;3094;66;1996;77;3058
2;no_barriers;6;186;4876;454;8087;130;4876;144;8021
2;no_barriers;7;377;23842;1031;26156;258;23827;275;26027
2;no_barriers;8;760;55339;2312;71529;514;55321;534;70992
2;no_barriers;9;1527;138450;5129;165828;1026;138349;1049;164610
2;with_barriers;1;5;24;5;25;5;24;5;25
2;with_barriers;2;11;102;14;146;10;102;12;144
2;with_barriers;3;23;567;35;641;18;566;23;629
2;with_barriers;4;47;755;84;1116;34;755;42;1074
2;with_barriers;5;95;2331;197;3311;66;2309;77;3191
2;with_barriers;6;191;5555;454;8594;130;5509;144;8284
2;with_barriers;7;383;24195;1031;27285;258;24195;275;26529
2;with_barriers;8;767;57091;2312;74650;514;57091;534;72995
2;with_barriers;9;1535;142339;5129;172827;1026;142339;1049;168994
3;no_barriers;1;5;9;5;15;5;9;5;15
3;no_barriers;2;10;90;14;132;10;91;12;132
3;no_barriers;3;21;563;35;628;18;563;23;626
3;no_barriers;4;44;707;84;1006;34;707;42;992
3;no_barriers;5;91;1996;197;3094;66;1996;77;3058
3;no_barriers;6;186;4876;454;8087;130;4876;144;8021
3;no_barriers;7;377;23842;1031;26156;258;23827;275;26027
3;no_barriers;8;760;55339;2312;71529;514;55321;534;70992
3;no_barriers;9;1527;138450;5129;165828;1026;138349;1049;164610
3;with_barriers;1;5;24;5;25;5;24;5;25
3;with_barriers;2;11;102;14;146;10;102;12;144
3;with_barriers;3;23;567;35;641;18;566;23;629
3;with_barriers;4;47;755;84;1116;34;755;42;1074
3;with_barriers;5;95;2331;197;3311;66;2309;77;3191
3;with_barriers;6;191;5555;454;8594;130;5509;144;8284
3;with_barriers;7;383;24195;1031;27285;258;24195;275;26529
3;with_barriers;8;767;57091;2312;74650;514;57091;534;72995
3;with_barriers;9;1535;142339;5129;172827;1026;142339;1049;168994
