n,optimization_level,classic_depth,classic_size,gray_depth,gray_size
1,0,24.0,29.0,24.0,29.0
1,1,20.0,24.0,20.0,24.0
1,2,8.67,12.93,8.72,13.04
1,3,8.81,13.23,8.73,13.0
2,0,152.0,206.0,152.0,204.0
2,1,90.0,140.0,91.0,140.0
2,2,90.0,132.0,91.0,132.0
2,3,90.0,132.0,91.0,132.0
3,0,732.0,865.0,732.0,853.0
3,1,563.0,628.0,563.0,626.0
3,2,563.0,628.0,563.0,626.0
3,3,563.0,628.0,563.0,626.0
4,0,848.0,1244.0,848.0,1202.0
4,1,707.08,1065.08,707.08,1057.08
4,2,707.08,1006.08,707.08,992.08
4,3,707.08,1006.08,707.08,992.08
5,0,2218.0,3535.0,2218.0,3415.0
5,1,1996.1,3207.1,1996.1,3185.1
5,2,1996.1,3094.1,1996.1,3058.1
5,3,1996.1,3094.1,1996.1,3058.1
6,0,5450.0,9170.0,5450.0,8860.0
6,1,4876.32,8326.32,4876.32,8274.32
6,2,4876.32,8087.32,4876.32,8021.32
6,3,4876.32,8087.32,4876.32,8021.32
7,0,29312.0,34325.0,29312.0,33569.0
7,1,24323.18,27662.18,24323.18,27548.18
7,2,23842.18,26156.18,23827.18,26027.18
7,3,23842.18,26156.18,23827.18,26027.18
8,0,71942.0,101656.0,71696.0,99878.0
8,1,57349.0,77317.53,57349.0,77083.53
8,2,55339.0,71529.53,55321.0,70992.53
8,3,55339.0,71529.53,55321.0,70992.53
9,0,183814.0,236571.0,183320.0,232491.0
9,1,144389.0,179198.01,144389.0,178718.01
9,2,138450.0,165833.01,138349.0,164615.01
9,3,138450.0,165833.01,138349.0,164615.01
